ICD10,ICD10 String,PheCode,Phenotype,Excl. Phecodes,Excl. Phenotypes,sex,pregnancy_related,category,category_string
A00,Cholera,008,Intestinal infection,001-009.99,Intestinal infection,,0.0,1.0,infectious diseases
A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae",008,Intestinal infection,001-009.99,Intestinal infection,,0.0,1.0,infectious diseases
A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor",008,Intestinal infection,001-009.99,Intestinal infection,,0.0,1.0,infectious diseases
A00.9,"Cholera, unspecified",008,Intestinal infection,001-009.99,Intestinal infection,,0.0,1.0,infectious diseases
A01,Typhoid and paratyphoid fevers,008,Intestinal infection,001-009.99,Intestinal infection,,0.0,1.0,infectious diseases
A01.0,Typhoid fever,008.5,Bacterial enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A01.1,Paratyphoid fever A,008,Intestinal infection,001-009.99,Intestinal infection,,0.0,1.0,infectious diseases
A01.2,Paratyphoid fever B,008,Intestinal infection,001-009.99,Intestinal infection,,0.0,1.0,infectious diseases
A01.3,Paratyphoid fever C,008,Intestinal infection,001-009.99,Intestinal infection,,0.0,1.0,infectious diseases
A01.4,"Paratyphoid fever, unspecified",008,Intestinal infection,001-009.99,Intestinal infection,,0.0,1.0,infectious diseases
A02,Other salmonella infections,008.5,Bacterial enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A02.0,Salmonella enteritis,008.5,Bacterial enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A02.1,Salmonella sepsis,038.1,Gram negative septicemia,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases
A02.2,Localized salmonella infections,008.5,Bacterial enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A02.8,Other specified salmonella infections,008.5,Bacterial enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A02.9,"Salmonella infection, unspecified",008.5,Bacterial enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A03,Shigellosis,008.5,Bacterial enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A03.0,Shigellosis due to Shigella dysenteriae,008.5,Bacterial enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A03.1,Shigellosis due to Shigella flexneri,008.5,Bacterial enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A03.2,Shigellosis due to Shigella boydii,008.5,Bacterial enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A03.3,Shigellosis due to Shigella sonnei,008.5,Bacterial enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A03.8,Other shigellosis,008.5,Bacterial enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A03.9,"Shigellosis, unspecified",008.5,Bacterial enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A04.0,Enteropathogenic Escherichia coli infection,008.51,Intestinal e.coli,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A04.1,Enterotoxigenic Escherichia coli infection,008.51,Intestinal e.coli,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A04.2,Enteroinvasive Escherichia coli infection,008.51,Intestinal e.coli,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A04.3,Enterohaemorrhagic Escherichia coli infection,008.51,Intestinal e.coli,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A04.4,Other intestinal Escherichia coli infections,008.51,Intestinal e.coli,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A04.5,Campylobacter enteritis,008.5,Bacterial enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A04.6,Enteritis due to Yersinia enterocolitica,008.5,Bacterial enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A04.7,Enterocolitis due to Clostridium difficile,008.52,Intestinal infection due to C. difficile,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A04.8,Other specified bacterial intestinal infections,008.5,Bacterial enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A04.9,"Bacterial intestinal infection, unspecified",008.5,Bacterial enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A05.0,Foodborne staphylococcal intoxication,008.5,Bacterial enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A05.1,Botulism,008.5,Bacterial enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,008.5,Bacterial enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A05.3,Foodborne Vibrio parahaemolyticus intoxication,008.5,Bacterial enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A05.4,Foodborne Bacillus cereus intoxication,008.5,Bacterial enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A05.8,Other specified bacterial foodborne intoxications,008.5,Bacterial enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A05.9,"Bacterial foodborne intoxication, unspecified",008,Intestinal infection,001-009.99,Intestinal infection,,0.0,1.0,infectious diseases
A06,Amoebiasis,008,Intestinal infection,001-009.99,Intestinal infection,,0.0,1.0,infectious diseases
A06.0,Acute amoebic dysentery,008,Intestinal infection,001-009.99,Intestinal infection,,0.0,1.0,infectious diseases
A06.1,Chronic intestinal amoebiasis,008.7,Intestinal infection due to protozoa,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A06.2,Amoebic nondysenteric colitis,008,Intestinal infection,001-009.99,Intestinal infection,,0.0,1.0,infectious diseases
A06.3,Amoeboma of intestine,008,Intestinal infection,001-009.99,Intestinal infection,,0.0,1.0,infectious diseases
A06.4,Amoebic liver abscess,008,Intestinal infection,001-009.99,Intestinal infection,,0.0,1.0,infectious diseases
A06.5,Amoebic lung abscess,008,Intestinal infection,001-009.99,Intestinal infection,,0.0,1.0,infectious diseases
A06.6,Amoebic brain abscess,008,Intestinal infection,001-009.99,Intestinal infection,,0.0,1.0,infectious diseases
A06.7,Cutaneous amoebiasis,008,Intestinal infection,001-009.99,Intestinal infection,,0.0,1.0,infectious diseases
A06.8,Amoebic infection of other sites,008,Intestinal infection,001-009.99,Intestinal infection,,0.0,1.0,infectious diseases
A06.9,"Amoebiasis, unspecified",008,Intestinal infection,001-009.99,Intestinal infection,,0.0,1.0,infectious diseases
A07,Other protozoal intestinal diseases,008,Intestinal infection,001-009.99,Intestinal infection,,0.0,1.0,infectious diseases
A07.0,Balantidiasis,008.7,Intestinal infection due to protozoa,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A07.1,Giardiasis [lambliasis],008.7,Intestinal infection due to protozoa,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A07.2,Cryptosporidiosis,008.7,Intestinal infection due to protozoa,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A07.3,Isosporiasis,008,Intestinal infection,001-009.99,Intestinal infection,,0.0,1.0,infectious diseases
A07.8,Other specified protozoal intestinal diseases,008.7,Intestinal infection due to protozoa,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A07.9,"Protozoal intestinal disease, unspecified",008,Intestinal infection,001-009.99,Intestinal infection,,0.0,1.0,infectious diseases
A08,Viral and other specified intestinal infections,008.6,Viral Enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A08.0,Rotaviral enteritis,008.6,Viral Enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A08.1,Acute gastroenteropathy due to Norwalk agent,008.6,Viral Enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A08.2,Adenoviral enteritis,008.6,Viral Enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A08.3,Other viral enteritis,008.6,Viral Enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A08.4,"Viral intestinal infection, unspecified",008.6,Viral Enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A08.5,Other specified intestinal infections,008.6,Viral Enteritis,001-009.99,Intestinal infection,Both,0.0,1.0,infectious diseases
A09,Other gastroenteritis and colitis of infectious and unspecified origin,008,Intestinal infection,001-009.99,Intestinal infection,,0.0,1.0,infectious diseases
A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A15.1,"Tuberculosis of lung, confirmed by culture only",010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A15.2,"Tuberculosis of lung, confirmed histologically",010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A15.3,"Tuberculosis of lung, confirmed by unspecified means",010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A15.4,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A15.6,"Tuberculous pleurisy, confirmed bacteriologically and histologically",010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A15.7,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A16.0,"Tuberculosis of lung, bacteriologically and histologically negative",010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A16.1,"Tuberculosis of lung, bacteriological and histological examination not done",010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A16.3,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A16.4,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A16.7,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
