prowas_code,prowas_desc,cpt,cpt text,ccs,CCS Label
1.1,Ventricle procedures,61000,Subdural tap through fontanelle; or suture; infant; unilateral or bilateral; initial,1,Incision and excision of CNS
1.1,Ventricle procedures,61001,Subdural tap through fontanelle; or suture; infant; unilateral or bilateral; subsequent taps,1,Incision and excision of CNS
1.1,Ventricle procedures,61020,Ventricular puncture through previous burr hole; fontanelle; suture; or implanted ventricular catheter/reservoir; without injection,1,Incision and excision of CNS
1.1,Ventricle procedures,61026,Ventricular puncture through previous burr hole; fontanelle; suture; or implanted ventricular catheter/reservoir; with injection of medication or other substance for diagnosis or treatment,1,Incision and excision of CNS
1.1,Ventricle procedures,61050,Cisternal or lateral cervical (C1-C2) puncture; without injection (separate procedure),1,Incision and excision of CNS
1.1,Ventricle procedures,61055,Cisternal or lateral cervical (C1-C2) puncture; with injection of medication or other substance for diagnosis or treatment,1,Incision and excision of CNS
1.1,Ventricle procedures,61105,Twist drill hole for subdural or ventricular puncture,1,Incision and excision of CNS
1.1,Ventricle procedures,61108,Twist drill hole(s) for subdural; intracerebral; or ventricular puncture; for evacuation and/or drainage of subdural hematoma,1,Incision and excision of CNS
1.2,Burr holes,61120,Burr hole(s) for ventricular puncture (including injection of gas; contrast media; dye; or radioactive material),1,Incision and excision of CNS
1.2,Burr holes,61150,Burr hole(s) or trephine; with drainage of brain abscess or cyst,1,Incision and excision of CNS
1.2,Burr holes,61151,Burr hole(s) or trephine; with subsequent tapping (aspiration) of intracranial abscess or cyst,1,Incision and excision of CNS
1.2,Burr holes,61154,Burr hole(s) with evacuation and/or drainage of hematoma; extradural or subdural,1,Incision and excision of CNS
1.2,Burr holes,61156,Burr hole(s); with aspiration of hematoma or cyst; intracerebral,1,Incision and excision of CNS
1.2,Burr holes,61250,Burr hole(s) or trephine; supratentorial; exploratory; not followed by other surgery,1,Incision and excision of CNS
1.2,Burr holes,61253,Burr hole(s) or trephine; infratentorial; unilateral or bilateral,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61304,Craniectomy or craniotomy; exploratory; supratentorial,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61305,Craniectomy or craniotomy; exploratory; infratentorial (posterior fossa),1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61312,Craniectomy or craniotomy for evacuation of hematoma; supratentorial; extradural or subdural,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61313,Craniectomy or craniotomy for evacuation of hematoma; supratentorial; intracerebral,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61314,Craniectomy or craniotomy for evacuation of hematoma; infratentorial; extradural or subdural,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61315,Craniectomy or craniotomy for evacuation of hematoma; infratentorial; intracerebellar,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61320,Craniectomy or craniotomy; drainage of intracranial abscess; supratentorial,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61321,Craniectomy or craniotomy; drainage of intracranial abscess; infratentorial,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61322,Craniectomy or craniotomy; decompressive; with or without duraplasty; for treatment of intracranial hypertension; without evacuation of associated intraparenchymal hematoma; without lobectomy,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61323,Craniectomy or craniotomy; decompressive; with or without duraplasty; for treatment of intracranial hypertension; without evacuation of associated intraparenchymal hematoma; with lobectomy,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61340,Subtemporal cranial decompression (pseudotumor cerebri; slit ventricle syndrome),1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61345,Other cranial decompression; posterior fossa,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61440,[EXPIRED]-Craniotomy for section of tentorium cerebelli (separate procedure),1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61470,[EXPIRED]-Craniectomy; suboccipital; for medullary tractotomy,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61480,Craniectomy; suboccipital; for mesencephalic tractotomy or pedunculotomy,1,Incision and excision of CNS
